Categoria,Ajustes,Responsável,Mapeado por,Revisão final c/ Márcio, OBS,Status DEV
HOME,"Ajustar o endereço. LIMONGE, com E no final.  ",Aline/Engels/Márcio,🔴 Aline,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
TIME,Remover os colaboradores Fernando e Emanuel.,Aline/Engels/Márcio,🔴 Aline,⚪ Não Iniciado,,FALSE
TIME,"ALTERAR COPY DA GEISE ARAÚJO PARA : Organizo e otimizo processos para decisões mais eficientes da empresa e clientes, através de negociações com parceiros e veículos. (Sinalizado também no documento em anexo) 
",Aline/Engels/Márcio,🟢 Engels,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
QUEM SOMOS,"Ajustar texto do Quem SOMOS. Está no doc, guia QUEM SOMOS. ",Aline/Engels/Márcio,🔴 Aline,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
QUEM SOMOS,"Na área do Mapa, ajustar a headline para ""Presença local com alcance nacional.""",Aline/Engels/Márcio,🔴 Aline,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
QUEM SOMOS,"No box de destaque, ajustar o texto para ""Grandes marcas não aceitam amadorismo. Se elas confiam a estratégia de crescimento à AMP, talvez você devesse se perguntar por que a sua marca ainda não está aqui."" CHECAR DOC.",Aline/Engels/Márcio,🔴 Aline,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
CULTURA,"Infográfico, item 1. Ajustar chamada para ""Antes de qualquer plano, levamos em consideração:""",Aline/Engels/Márcio,🔴 Aline,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
CULTURA,"No box preto, ajustar texto para ""Em vez de apenas pensarmos fora da caixa, construímos uma nova: aquela onde sua marca brilha enquanto a concorrência tenta entender o que aconteceu."" Checar o doc.",Aline/Engels/Márcio,🔴 Aline,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
SERVIÇOS,"No serviço, TECNOLOGIA & DESENVOLVIMENTO, ajustar o  texto para: ""Desenvolvemos páginas com lógica e clareza. O design de UI/UX atua como base para garantir que a navegação flua, que a informação apareça no tempo certo e que o usuário tenha uma experiência intuitiva.
A tecnologia, para nós, está além do suporte. Ela compõe a estrutura que sustenta o tráfego, viabiliza a coleta de dados e dá continuidade à estratégia.""",Aline/Engels/Márcio,🔴 Aline,⚪ Não Iniciado,,FALSE
SERVIÇOS,"No serviço, SOCIAL E CONTEÚDO, ajustar o texto para: ""Ao trabalhar com a lógica de Inbound Marketing — isto é, entendendo o que dizer, quando dizer e o porquê — não existe a produção por obrigação nem o calendário vazio de intenção.
A presença, sozinha, não equivale a posicionamento.
O nosso conteúdo constrói percepção, abre caminho para mídia e mantém o ecossistema inteiro ativo.""",Aline/Engels/Márcio,🔴 Aline,⚪ Não Iniciado,,FALSE
SERVIÇOS,"No CTA da página, remover a vírgula depois de CONECTA.
CHECAR DOC.",Aline/Engels/Márcio,🔴 Aline,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
PRÊMIOS,Retirar a copy (AQUI VAI UM BREVE TEXTO FALANDO SOBRE O PROJETO) da aba de prêmios.  (Sinalizado também no documento em anexo) ,Aline/Engels/Márcio,🟢 Engels,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
PRÊMIOS,"Entrar o nome da premiação em destaque principal, exemplo: PMKT 2021 - PRATA.  (Sinalizado também no documento em anexo) ",Aline/Engels/Márcio,🟢 Engels,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
PRÊMIOS,Estão faltando as demais imagens dos prêmios.,Aline/Engels/Márcio,🔴 Aline,⚪ Não Iniciado,,FALSE
PRÊMIOS,Está faltando adicionar uma premiação a página.  (Imagem da premiação sinalizada no documento em anexo) ,Aline/Engels/Márcio,🟢 Engels,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
PRÊMIOS,"Substituir o texto de marcação por: ""O padrão de qualidade que nos move.""",Aline/Engels/Márcio,🔴 Aline,⚪ Não Iniciado,,FALSE
PRÊMIOS,"No box (FINAL)  adicionar um ponto final na copy da imagem: Na AMP, somos obcecados por performance, resultados e em transformar sua marca em uma referência de sucesso.",Aline/Engels/Márcio,🟢 Engels,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
PROJETOS,Ajustar as aspas no CTA da página. Checar print de tela no doc.,Aline/Engels/Márcio,🔴 Aline,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
PROJETOS,"No box (TECNOLOGIA&WEB) adicionar um ponto final na copy da imagem: MAS SE NÃO FUNCIONA, ELE TRAVA TUDO AO REDOR.  (Sinalizado também no documento em anexo) ",Aline/Engels/Márcio,🟢 Engels,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
PROJETOS,No box (PROJETOS)  adicionar um ponto final na copy da imagem: O RESULTADO DEIXA DE SER ESFORÇO. (Sinalizado também no documento em anexo) ,Aline/Engels/Márcio,🟢 Engels,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
PROJETOS,"No box (FINAL)  adicionar um ponto final na copy da imagem: Na AMP, somos obcecados por performance, resultados e em transformar sua marca em uma referência de sucesso. (Sinalizado também no documento em anexo) ",Aline/Engels/Márcio,🟢 Engels,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
PROJETOS,Mudar o texto do FAQ para o texto que está no doc. CHECAR GUIA FAQ.,Aline/Engels/Márcio,🔴 Aline,⚪ Não Iniciado,[AMP] Ajustes site,FALSE
LOGOS PARCEIROS,,Aline/Engels/Márcio,⚪ Não Iniciado,⚪ Não Iniciado,,FALSE
BLOG,,Aline/Engels/Márcio,⚪ Não Iniciado,⚪ Não Iniciado,,
